time,open,high,low,close,volume
2023-04-05 20:00:00,163.45,163.61,163.45,163.55,7992
2023-04-05 19:45:00,163.45,163.46,163.42,163.46,6249
2023-04-05 19:30:00,163.41,163.45,163.33,163.45,6270
2023-04-05 19:15:00,163.46,163.55,163.03,163.43,11901
2023-04-05 19:00:00,163.42,163.58,163.42,163.47,9886
2023-04-05 18:45:00,163.43,163.5082,163.4201,163.5,5589
2023-04-05 18:30:00,163.4822,163.5899,163.39,163.5899,3838
2023-04-05 18:15:00,163.5,163.54,163.35,163.39,4892
2023-04-05 18:00:00,163.42,163.6,163.32,163.6,20877
2023-04-05 17:45:00,163.49,163.5,163.3422,163.39,9809
2023-04-05 17:30:00,163.58,163.58,163.49,163.49,6790
2023-04-05 17:15:00,163.63,163.76,163.5,163.54,29989
2023-04-05 17:00:00,163.65,163.66,163.61,163.65,14030
2023-04-05 16:45:00,163.74,163.76,163.6212,163.65,66354
2023-04-05 16:30:00,163.79,163.86,163.72,163.74,20265
2023-04-05 16:15:00,163.73,163.83,163.2983,163.2983,1171162
2023-04-05 16:00:00,163.535,163.95,163.345,163.76,4000510
2023-04-05 15:45:00,163.26,163.56,163.21,163.5399,1868031
2023-04-05 15:30:00,162.97,163.4,162.97,163.255,1462501
2023-04-05 15:15:00,163.24,163.29,162.93,162.965,1167522
2023-04-05 15:00:00,163.0007,163.305,163.0007,163.2388,886027
2023-04-05 14:45:00,162.69,163.25,162.67,163.0029,1273129
2023-04-05 14:30:00,162.82,162.89,162.65,162.6976,883128
2023-04-05 14:15:00,162.95,163.1192,162.77,162.8205,1190383
2023-04-05 14:00:00,162.851,162.99,162.65,162.945,1194973
2023-04-05 13:45:00,162.87,163.095,162.8,162.855,1000551
2023-04-05 13:30:00,162.65,162.97,162.64,162.87,1345436
2023-04-05 13:15:00,162.33,162.73,162.26,162.65,1381942
2023-04-05 13:00:00,162.07,162.49,162.04,162.33,1166638
2023-04-05 12:45:00,162.2,162.287,161.8,162.08,2038844
2023-04-05 12:30:00,162.435,162.5599,162.11,162.23,1804207
2023-04-05 12:15:00,162.98,163.0,162.42,162.43,1704324
2023-04-05 12:00:00,163.12,163.19,162.68,162.9601,1917753
2023-04-05 11:45:00,163.28,163.52,163.115,163.12,1270696
2023-04-05 11:30:00,163.68,163.77,163.28,163.28,1275464
2023-04-05 11:15:00,163.28,163.77,163.2001,163.6692,1647524
2023-04-05 11:00:00,163.62,163.89,163.2699,163.29,1715053
2023-04-05 10:45:00,164.12,164.1801,163.62,163.625,1760937
2023-04-05 10:30:00,164.44,164.57,164.11,164.1201,1946787
2023-04-05 10:15:00,164.65,164.92,163.98,164.44,2471017
2023-04-05 10:00:00,164.67,164.71,164.21,164.6201,2531444
2023-04-05 09:45:00,164.74,165.05,164.28,164.68,3884600
2023-04-05 09:30:00,165.15,165.18,164.52,164.75,152061
2023-04-05 09:15:00,165.18,165.2999,164.97,165.15,106204
2023-04-05 09:00:00,165.25,165.38,165.12,165.18,46070
2023-04-05 08:45:00,165.465,165.5,165.13,165.26,73220
2023-04-05 08:30:00,165.4,165.8,165.31,165.43,44861
2023-04-05 08:15:00,165.46,165.8,165.06,165.35,88294
2023-04-05 08:00:00,165.58,165.75,165.58,165.6,19810
2023-04-05 07:45:00,165.69,165.77,165.52,165.55,26646
2023-04-05 07:30:00,165.47,165.79,165.47,165.65,22972
2023-04-05 07:15:00,165.32,165.6,165.3,165.4,36405
2023-04-05 07:00:00,165.33,165.39,165.32,165.38,6695
2023-04-05 06:45:00,165.38,165.38,165.22,165.33,5368
2023-04-05 06:30:00,165.3,165.37,165.3,165.35,7397
2023-04-05 06:15:00,165.25,165.3,165.24,165.24,2926
2023-04-05 06:00:00,165.26,165.32,165.17,165.2,6646
2023-04-05 05:45:00,165.24,165.33,165.23,165.26,5180
2023-04-05 05:30:00,165.34,165.34,165.24,165.24,565
2023-04-05 05:15:00,165.29,165.35,165.23,165.34,8978
2023-04-05 05:00:00,165.12,165.35,165.1,165.34,2846
2023-04-05 04:45:00,165.31,165.32,165.28,165.28,1165
2023-04-05 04:30:00,165.32,165.32,165.3,165.32,3896
2023-04-05 04:15:00,165.68,165.68,165.29,165.48,10662
2023-04-04 20:00:00,165.8101,165.84,165.75,165.79,11617
2023-04-04 19:45:00,165.75,165.85,165.7,165.85,5533
2023-04-04 19:30:00,165.65,165.75,165.65,165.73,5702
2023-04-04 19:15:00,165.6,165.67,165.6,165.65,6099
2023-04-04 19:00:00,165.59,165.64,165.56,165.64,2591
2023-04-04 18:45:00,165.59,165.67,165.55,165.55,3132
2023-04-04 18:30:00,165.55,165.55,165.53,165.53,769
2023-04-04 18:15:00,165.57,165.68,165.57,165.57,5220
2023-04-04 18:00:00,165.58,165.64,165.52,165.52,4809
2023-04-04 17:45:00,165.6,165.6,165.579,165.58,1396
2023-04-04 17:30:00,165.57,165.59,165.54,165.54,4909
2023-04-04 17:15:00,165.61,165.63,165.56,165.58,1758305
2023-04-04 17:00:00,165.62,165.64,165.6,165.64,5526
2023-04-04 16:45:00,165.58,165.63,165.56,165.62,19862
2023-04-04 16:30:00,165.58,165.67,165.57,165.62,12231
2023-04-04 16:15:00,165.64,165.67,165.53,165.56,1916265
2023-04-04 16:00:00,165.25,165.66,165.11,165.65,3050298
2023-04-04 15:45:00,165.34,165.6269,165.22,165.24,1680483
2023-04-04 15:30:00,165.515,165.63,165.34,165.348,1044105
2023-04-04 15:15:00,165.415,165.59,165.335,165.51,1200354
2023-04-04 15:00:00,165.74,165.84,165.33,165.41,961861
2023-04-04 14:45:00,165.765,165.9,165.57,165.74,1003712
2023-04-04 14:30:00,166.04,166.05,165.76,165.7601,1281731
2023-04-04 14:15:00,166.01,166.1099,165.96,166.0301,656985
2023-04-04 14:00:00,165.998,166.14,165.9018,166.0109,585879
2023-04-04 13:45:00,166.0701,166.21,165.96,166.0,921526
2023-04-04 13:30:00,165.83,166.23,165.82,166.0799,957532
2023-04-04 13:15:00,165.94,166.06,165.715,165.8309,710140
