,time,open,high,low,close,volume,Stock
0,2023-04-05 16:15:00,532.07,532.07,532.07,532.07,275,COKE
1,2023-04-05 16:00:00,532.11,532.18,529.51,530.56,5364,COKE
2,2023-04-05 15:45:00,530.4995,530.4995,527.3801,529.13,868,COKE
3,2023-04-05 15:30:00,530.63,531.225,530.61,531.225,551,COKE
4,2023-04-05 14:15:00,527.16,528.36,527.16,528.36,4100,COKE
5,2023-04-05 14:00:00,526.975,526.975,526.975,526.975,140,COKE
6,2023-04-05 13:30:00,526.0,527.48,526.0,527.28,2096,COKE
7,2023-04-05 13:15:00,527.22,527.22,525.03,525.41,1245,COKE
8,2023-04-05 12:15:00,524.1,525.09,524.1,524.9,746,COKE
9,2023-04-05 12:00:00,526.28,526.28,526.28,526.28,107,COKE
10,2023-04-05 11:45:00,527.17,527.17,527.08,527.1652,448,COKE
11,2023-04-05 11:30:00,529.38,529.38,529.38,529.38,143,COKE
12,2023-04-05 10:30:00,525.97,529.3939,525.97,529.3939,781,COKE
13,2023-04-05 09:45:00,521.44,521.44,521.44,521.44,289,COKE
14,2023-04-04 16:15:00,519.85,519.85,519.85,519.85,15492,COKE
15,2023-04-04 16:00:00,519.31,520.81,519.14,520.44,2156,COKE
16,2023-04-04 15:45:00,519.67,519.67,519.44,519.44,542,COKE
17,2023-04-04 15:15:00,520.545,520.545,520.545,520.545,112,COKE
18,2023-04-04 15:00:00,523.29,523.29,520.45,520.45,516,COKE
19,2023-04-04 14:30:00,523.515,523.515,522.2254,522.2254,475,COKE
20,2023-04-04 13:15:00,523.96,524.44,523.96,524.44,296,COKE
21,2023-04-04 13:00:00,526.9451,526.9451,523.37,523.48,574,COKE
22,2023-04-04 12:00:00,524.18,524.18,524.18,524.18,575,COKE
23,2023-04-04 11:30:00,531.6,531.6,525.59,529.71,7426,COKE
24,2023-04-04 11:15:00,526.96,531.77,525.41,531.77,2668,COKE
25,2023-04-04 10:30:00,526.54,526.85,523.32,525.51,2276,COKE
26,2023-04-04 09:45:00,540.0,540.0,539.98,540.0,1264,COKE
27,2023-04-03 16:15:00,540.58,540.58,540.58,540.58,1159,COKE
28,2023-04-03 16:00:00,539.17,540.6,538.765,540.6,3051,COKE
29,2023-04-03 15:45:00,540.31,540.31,540.14,540.14,503,COKE
30,2023-04-03 15:30:00,539.78,539.78,539.78,539.78,206,COKE
31,2023-04-03 15:00:00,537.57,537.57,537.57,537.57,240,COKE
32,2023-04-03 12:15:00,536.31,536.33,536.31,536.33,493,COKE
33,2023-04-03 11:30:00,532.03,532.03,532.03,532.03,231,COKE
34,2023-04-03 11:00:00,531.08,532.09,531.0,532.09,618,COKE
35,2023-04-03 10:30:00,532.28,535.645,532.28,535.645,575,COKE
36,2023-04-03 09:45:00,534.99,534.99,532.5545,532.5545,765,COKE
37,2023-03-31 16:15:00,535.08,535.08,535.08,535.08,12511,COKE
38,2023-03-31 16:00:00,536.78,537.73,534.44,535.15,5203,COKE
39,2023-03-31 15:15:00,535.71,535.71,535.71,535.71,110,COKE
40,2023-03-31 15:00:00,534.59,534.59,534.35,534.36,1520,COKE
41,2023-03-31 14:45:00,533.81,535.37,531.6139,532.99,1224,COKE
42,2023-03-31 14:15:00,536.355,536.36,536.355,536.36,433,COKE
43,2023-03-31 13:45:00,537.35,537.35,537.35,537.35,321,COKE
44,2023-03-31 13:30:00,537.5,537.5,536.26,536.26,201,COKE
45,2023-03-31 12:30:00,541.9599,541.9599,541.9599,541.9599,160,COKE
46,2023-03-31 12:15:00,540.175,540.175,540.175,540.175,202,COKE
47,2023-03-31 12:00:00,537.02,538.81,537.02,538.81,869,COKE
48,2023-03-31 11:45:00,539.6325,539.6325,539.6325,539.6325,105,COKE
49,2023-03-31 10:45:00,537.03,538.51,537.03,537.82,914,COKE
50,2023-03-31 10:15:00,536.98,540.66,536.98,540.66,824,COKE
51,2023-03-31 10:00:00,536.35,536.35,536.35,536.35,365,COKE
52,2023-03-31 09:45:00,537.47,537.47,537.47,537.47,349,COKE
53,2023-03-30 16:00:00,533.72,533.76,531.55,531.55,2211,COKE
54,2023-03-30 15:30:00,533.82,533.82,532.805,532.805,248,COKE
55,2023-03-30 15:00:00,535.41,535.41,535.41,535.41,312,COKE
56,2023-03-30 14:45:00,536.61,537.79,536.54,537.79,1178,COKE
57,2023-03-30 13:30:00,537.125,537.125,537.125,537.125,152,COKE
58,2023-03-30 12:45:00,534.65,534.81,534.65,534.81,430,COKE
59,2023-03-30 12:15:00,533.76,536.5545,533.71,536.5545,5086,COKE
60,2023-03-30 12:00:00,533.165,533.165,533.165,533.165,100,COKE
61,2023-03-30 11:30:00,530.35,530.35,530.35,530.35,319,COKE
62,2023-03-30 11:15:00,536.58,536.58,530.59,530.59,5741,COKE
63,2023-03-30 11:00:00,534.8,537.8,534.8,537.8,1959,COKE
64,2023-03-30 10:30:00,533.135,536.0,533.135,536.0,545,COKE
65,2023-03-30 09:45:00,536.08,536.08,532.36,532.36,732,COKE
66,2023-03-29 20:00:00,515.76,515.76,515.76,515.76,100,COKE
67,2023-03-29 16:15:00,536.25,536.25,536.25,536.25,246,COKE
68,2023-03-29 16:00:00,537.0,537.44,535.5,537.44,1325,COKE
69,2023-03-29 15:45:00,533.7844,533.7844,533.7844,533.7844,150,COKE
70,2023-03-29 15:30:00,536.224,536.224,536.224,536.224,101,COKE
71,2023-03-29 15:00:00,533.77,535.85,531.71,534.06,8895,COKE
72,2023-03-29 14:45:00,534.13,536.24,533.38,536.24,6971,COKE
73,2023-03-29 14:30:00,534.78,534.78,534.78,534.78,346,COKE
74,2023-03-29 14:15:00,534.5,534.5,534.5,534.5,103,COKE
75,2023-03-29 13:15:00,535.77,536.16,535.77,536.16,479,COKE
76,2023-03-29 13:00:00,535.74,535.74,535.74,535.74,279,COKE
77,2023-03-29 12:15:00,537.3744,537.3744,536.05,536.535,501,COKE
78,2023-03-29 11:45:00,536.58,536.58,533.84,533.84,576,COKE
79,2023-03-29 11:30:00,538.85,538.85,538.85,538.85,109,COKE
80,2023-03-29 11:15:00,538.64,538.88,538.64,538.88,484,COKE
81,2023-03-29 11:00:00,539.898,539.898,538.31,538.31,431,COKE
82,2023-03-29 10:30:00,540.0,540.0,540.0,540.0,164,COKE
83,2023-03-29 09:45:00,539.99,539.99,539.99,539.99,329,COKE
84,2023-03-28 16:15:00,533.72,533.72,533.72,533.72,139,COKE
85,2023-03-28 16:00:00,534.76,536.41,533.46,533.46,2805,COKE
86,2023-03-28 15:45:00,536.99,537.305,536.61,536.61,619,COKE
87,2023-03-28 14:30:00,534.27,536.11,534.26,536.11,1300,COKE
88,2023-03-28 14:00:00,533.45,533.45,533.45,533.45,153,COKE
89,2023-03-28 13:15:00,531.5862,531.5862,531.5862,531.5862,127,COKE
90,2023-03-28 13:00:00,536.18,536.18,536.18,536.18,118,COKE
91,2023-03-28 12:45:00,535.61,535.61,535.61,535.61,109,COKE
92,2023-03-28 12:15:00,536.56,536.56,536.56,536.56,118,COKE
93,2023-03-28 11:45:00,537.19,537.19,537.19,537.19,203,COKE
94,2023-03-28 11:30:00,533.83,533.98,533.83,533.98,1155,COKE
95,2023-03-28 11:15:00,533.04,533.99,533.04,533.07,1744,COKE
96,2023-03-28 11:00:00,532.286,532.286,532.27,532.27,737,COKE
97,2023-03-28 10:15:00,538.2,538.2,538.2,538.2,108,COKE
98,2023-03-28 09:45:00,533.9,540.0,533.9,539.99,1728,COKE
99,2023-03-27 16:15:00,538.6,538.6,538.6,538.6,390,COKE
100,2023-03-27 16:00:00,537.995,538.87,537.05,538.87,3120,COKE
101,2023-03-27 15:45:00,538.44,538.44,537.6,537.6,349,COKE
102,2023-03-27 15:00:00,535.6,535.6,535.6,535.6,215,COKE
103,2023-03-27 14:45:00,538.25,538.25,538.25,538.25,103,COKE
104,2023-03-27 14:15:00,539.34,539.34,537.92,537.92,209,COKE
105,2023-03-27 14:00:00,537.6801,537.6801,537.5,537.5,388,COKE
106,2023-03-27 13:45:00,537.655,537.655,537.655,537.655,112,COKE
107,2023-03-27 13:30:00,537.955,537.955,537.955,537.955,114,COKE
108,2023-03-27 13:15:00,539.62,540.19,537.82,537.82,3053,COKE
109,2023-03-27 12:45:00,541.02,541.02,541.02,541.02,160,COKE
110,2023-03-27 12:30:00,540.25,540.85,540.25,540.85,357,COKE
111,2023-03-27 12:15:00,537.44,538.81,537.44,538.81,735,COKE
112,2023-03-27 10:30:00,534.07,535.26,532.61,535.26,417,COKE
113,2023-03-27 09:45:00,527.32,527.32,527.32,527.32,745,COKE
114,2023-03-24 16:15:00,525.28,525.28,525.28,525.28,151,COKE
115,2023-03-24 16:00:00,524.32,525.27,524.05,524.17,1948,COKE
116,2023-03-24 15:45:00,524.89,524.89,523.975,524.01,1400,COKE
117,2023-03-24 15:30:00,523.68,523.68,523.68,523.68,334,COKE
118,2023-03-24 15:15:00,522.51,523.54,522.51,523.54,276,COKE
119,2023-03-24 14:45:00,523.55,523.55,523.55,523.55,136,COKE
120,2023-03-24 14:00:00,521.74,521.74,521.58,521.58,252,COKE
121,2023-03-24 13:45:00,523.01,523.01,523.01,523.01,222,COKE
122,2023-03-24 13:30:00,522.03,522.03,522.03,522.03,344,COKE
123,2023-03-24 13:00:00,525.0,525.0,525.0,525.0,225,COKE
124,2023-03-24 12:15:00,519.1773,519.1773,519.1773,519.1773,109,COKE
125,2023-03-24 11:45:00,518.24,518.24,518.24,518.24,181,COKE
126,2023-03-24 10:30:00,511.98,514.67,511.27,511.42,2486,COKE
127,2023-03-24 10:15:00,513.54,513.54,513.43,513.43,219,COKE
128,2023-03-24 10:00:00,517.3,517.3,517.3,517.3,119,COKE
129,2023-03-24 09:45:00,515.45,517.94,515.45,517.94,332,COKE
